specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Megascolia maculata,-0.53422678,-0.62402707,-0.52967489,-0.6415745,-0.45722765,-0.68219948,-0.58265203,2,low
Milvus milvus,-0.50181049,-0.65028387,-0.43892536,-0.23024817,-0.5541836,-0.60593086,-0.20705363,2,low
Nezara viridula,-0.47896603,-0.39173016,-0.4715952,-0.55930924,0.27094606,-0.33899081,-0.58265203,2,low
Panurus biarmicus,-0.41040021,0.072779402,-0.47522518,-0.6415745,-0.3424702,0.004217894,-0.58265203,2,low
Pelophylax,-0.47282246,-0.47766906,-0.49337509,-0.3947787,-0.27829644,-0.65931892,-0.58265203,2,low
Periparus ater,-0.3844187,-0.26493603,-0.48248515,-0.23024817,0.084399119,-0.60593086,-0.58265203,2,low
Poecile palustris,-0.38128683,0.23660845,-0.42440543,-0.6415745,-0.083968997,0.23302369,-0.26071054,2,low
Polygonia c-album,-0.43005526,-0.30920503,-0.4498153,-0.3947787,0.28557548,-0.49915487,-0.35729298,2,low
Puffinus yelkouan,-0.44860849,0.17784899,-0.50789499,-0.80610502,-0.2354413,-0.018662686,-0.58265203,2,low
Turdus iliacus,-0.52588761,-0.30310696,-0.53330487,-0.88837028,-0.097560324,-0.5391959,-0.58265203,2,low
Zapornia parva,-0.50674099,-0.61127734,-0.52967489,-0.3947787,-0.23870303,-0.89956498,-0.58265203,2,low
Falco columbarius,-0.55025864,-0.74276555,-0.53693485,-0.55930924,-0.80104858,-0.93960601,-0.58265203,3,low
Falco vespertinus,-0.54935986,-0.73834008,-0.49700508,-0.55930924,-0.89471024,-0.83950347,-0.30095321,3,low
Amandava amandava,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,3,low
Calandrella brachydactyla,-0.55913323,-0.69288588,-0.55871475,-0.80610502,-0.51278615,-0.97964704,-0.58265203,3,low
Columba oenas,-0.56568325,-0.83245999,-0.54056484,-0.47704396,-1.0021557,-1.139811,-0.58265203,3,low
Gonepteryx rhamni,-0.55897987,-0.73346871,-0.5478248,-0.72383976,-0.65220529,-0.87287098,-0.58265203,3,low
Theba pisana,-0.57003593,-0.8060534,-0.55145478,-0.72383976,-0.89286035,-0.87287098,-0.58265203,3,low
Cecropis daurica,-0.57704216,-0.76167613,-0.55508476,-0.97063553,-0.8026135,-0.60593086,-0.58265203,3,low
Erythromma viridulum,-0.57828736,-0.69582713,-0.56960469,-1.0529008,-0.9231959,-1.139811,-0.58265203,3,low
Hydrocoloeus minutus,-0.54880244,-0.70604849,-0.51515496,-0.6415745,-0.79445881,-0.68219948,-0.58265203,3,low
Cyprinus carpio,-0.55171967,-0.63448036,-0.5478248,-0.80610502,-0.43674523,-0.97964704,-0.58265203,3,low
Lepomis gibbosus,-0.57680935,-0.66671598,-0.56960469,-1.0529008,-0.42489439,-1.139811,-0.58265203,3,low
Monticola solitarius,-0.58123803,-0.7539413,-0.55508476,-1.0529008,-1.0784491,-0.33899081,-0.58265203,3,low
Oryctes nasicornis,-0.58785814,-0.88432753,-0.57323468,-1.0529008,-1.1557449,-1.139811,-0.58265203,3,low
Tyto alba,-0.57709706,-0.85241097,-0.5478248,-0.72383976,-1.0485528,-0.73940092,-0.58265203,3,low
Agrius convolvuli,-0.57402915,-0.81023878,-0.56234473,-0.80610502,-0.90691698,-1.139811,-0.58265203,3,low
Anax ephippiger,-0.58730286,-0.89640236,-0.56960469,-0.97063553,-1.1962984,-1.139811,-0.58265203,3,low
Argiope lobata,-0.58707464,-0.79536718,-0.57686466,-1.135166,-0.85697067,-1.139811,-0.58265203,3,low
Callophrys rubi,-0.57929146,-0.82901382,-0.55508476,-0.88837028,-0.96997315,-0.93960601,-0.58265203,3,low
Cerambyx cerdo,-0.58725739,-0.80256712,-0.57686466,-1.135166,-0.8811518,-1.139811,-0.58265203,3,low
Chalcolestes parvidens,-0.58250415,-0.61533159,-0.57686466,-1.135166,-0.2523194,-1.139811,-0.58265203,3,low
Clangula hyemalis,-0.58048666,-0.80690348,-0.56234473,-0.97063553,-0.99581093,-1.139811,-0.58265203,3,low
Cornu aspersum,-0.56548882,-0.77620077,-0.54056484,-0.72383976,-0.90143764,-0.60593086,-0.58265203,3,low
Falco naumanni,-0.57215202,-0.79544997,-0.55508476,-0.80610502,-0.89252537,-0.81948298,-0.58265203,3,low
Gavia stellata,-0.55285794,-0.56870359,-0.55508476,-0.88837028,-0.91962802,-1.139811,-0.58265203,3,low
Hierophis viridiflavus,-0.54309648,-0.75448507,-0.53330487,-0.3947787,-0.71966761,-1.0597291,-0.58265203,3,low
Hipparchia statilinus,-0.5863207,-0.76566815,-0.57323468,-1.135166,-0.75722611,-1.139811,-0.58265203,3,low
Hyphantria cunea,-0.57563388,-0.34470466,-0.57686466,-1.135166,0.65658391,-1.139811,-0.58265203,3,low
Nomophila noctuella,-0.56893373,-0.77009594,-0.55145478,-0.80610502,-0.85787058,-0.97964704,-0.58265203,3,low
Pieris brassicae,-0.56404293,-0.76670849,-0.55871475,-0.72383976,-0.76072013,-1.139811,-0.58265203,3,low
Polistes dominula,-0.57545936,-0.7912761,-0.56234473,-0.88837028,-0.89683926,-1.139811,-0.58265203,3,low
Pontia edusa,-0.56008399,-0.79114413,-0.53330487,-0.55930924,-0.8427875,-0.73940092,-0.58265203,3,low
Rana dalmatina,-0.58424413,-0.81314808,-0.57323468,-1.0529008,-0.91668802,-1.139811,-0.58265203,3,low
Scopula imitaria,-0.58969235,-0.89848226,-0.57686466,-1.135166,-1.2032838,-1.139811,-0.58265203,3,low
Sphingonotus personatus,-0.58196563,-0.76827157,-0.56960469,-1.0529008,-0.76596981,-0.73940092,-0.58265203,3,low
Utetheisa pulchella,-0.58947468,-0.88990641,-0.57686466,-1.135166,-1.1744815,-1.139811,-0.58265203,3,low
Acanthocardia tuberculata,-0.58336926,-0.84475315,-0.56960469,-0.97063553,-1.0228339,-1.139811,-0.58265203,3,low
Acrida ungarica,-0.57241035,-0.82164174,-0.55145478,-0.72383976,-0.99468398,-1.139811,-0.58265203,3,low
Aedes albopictus,-0.58592415,-0.84623677,-0.57323468,-1.0529008,-1.0278167,-1.139811,-0.58265203,3,low
Agelena labyrinthica,-0.57939011,-0.79250556,-0.55871475,-0.97063553,-0.84735984,-0.33899081,-0.58265203,3,low
Aiolopus strepens,-0.57011133,-0.67067236,-0.54419482,-0.97063553,-0.72409427,-0.33899081,-0.58265203,3,low
Alopochen aegyptiaca,-0.58432811,-0.81480163,-0.56597471,-1.0529008,-0.92224139,-0.73940092,-0.58265203,3,low
Ameiurus,-0.58248293,-0.7784608,-0.57323468,-1.0529008,-0.80019039,-1.139811,-0.58265203,3,low
Anthus cervinus,-0.5807296,-0.84317631,-0.56597471,-0.88837028,-1.017538,-1.139811,-0.58265203,3,low
Arachnocephalus vestitus,-0.58684057,-0.78614628,-0.57686466,-1.135166,-0.82600224,-1.139811,-0.58265203,3,low
Araneus angulatus,-0.57185721,-0.56918186,-0.56960469,-1.0529008,-0.097325079,-0.73940092,-0.58265203,3,low
Arctia villica,-0.57342273,-0.77122027,-0.5478248,-0.88837028,-0.82948148,-0.5391959,-0.58265203,3,low
Asio flammeus,-0.56111771,-0.65004367,-0.5478248,-0.88837028,-0.42250887,-0.5391959,-0.58265203,3,low
