specie,a,aloc,intrado,interdo,e,tr,trmo,prevalence
Periparus ater,-0.3844187,-0.26493603,-0.48248515,-0.23024817,0.084399119,-0.60593086,-0.58265203,0.2
Poecile palustris,-0.38128683,0.23660845,-0.42440543,-0.6415745,-0.083968997,0.23302369,-0.26071054,0.2
Polygonia c-album,-0.43005526,-0.30920503,-0.4498153,-0.3947787,0.28557548,-0.49915487,-0.35729298,0.2
Puffinus yelkouan,-0.44860849,0.17784899,-0.50789499,-0.80610502,-0.2354413,-0.018662686,-0.58265203,0.2
Turdus iliacus,-0.52588761,-0.30310696,-0.53330487,-0.88837028,-0.097560324,-0.5391959,-0.58265203,0.2
Zapornia parva,-0.50674099,-0.61127734,-0.52967489,-0.3947787,-0.23870303,-0.89956498,-0.58265203,0.2
Falco columbarius,-0.55025864,-0.74276555,-0.53693485,-0.55930924,-0.80104858,-0.93960601,-0.58265203,0.2
Falco vespertinus,-0.54935986,-0.73834008,-0.49700508,-0.55930924,-0.89471024,-0.83950347,-0.30095321,0.2
Amandava amandava,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,0.2
Calandrella brachydactyla,-0.55913323,-0.69288588,-0.55871475,-0.80610502,-0.51278615,-0.97964704,-0.58265203,0.2
Columba oenas,-0.56568325,-0.83245999,-0.54056484,-0.47704396,-1.0021557,-1.139811,-0.58265203,0.2
Gonepteryx rhamni,-0.55897987,-0.73346871,-0.5478248,-0.72383976,-0.65220529,-0.87287098,-0.58265203,0.2
Theba pisana,-0.57003593,-0.8060534,-0.55145478,-0.72383976,-0.89286035,-0.87287098,-0.58265203,0.2
Cecropis daurica,-0.57704216,-0.76167613,-0.55508476,-0.97063553,-0.8026135,-0.60593086,-0.58265203,0.2
Erythromma viridulum,-0.57828736,-0.69582713,-0.56960469,-1.0529008,-0.9231959,-1.139811,-0.58265203,0.2
Hydrocoloeus minutus,-0.54880244,-0.70604849,-0.51515496,-0.6415745,-0.79445881,-0.68219948,-0.58265203,0.2
Cyprinus carpio,-0.55171967,-0.63448036,-0.5478248,-0.80610502,-0.43674523,-0.97964704,-0.58265203,0.2
Lepomis gibbosus,-0.57680935,-0.66671598,-0.56960469,-1.0529008,-0.42489439,-1.139811,-0.58265203,0.2
Monticola solitarius,-0.58123803,-0.7539413,-0.55508476,-1.0529008,-1.0784491,-0.33899081,-0.58265203,0.2
Oryctes nasicornis,-0.58785814,-0.88432753,-0.57323468,-1.0529008,-1.1557449,-1.139811,-0.58265203,0.2
Tyto alba,-0.57709706,-0.85241097,-0.5478248,-0.72383976,-1.0485528,-0.73940092,-0.58265203,0.2
Agrius convolvuli,-0.57402915,-0.81023878,-0.56234473,-0.80610502,-0.90691698,-1.139811,-0.58265203,0.2
Anax ephippiger,-0.58730286,-0.89640236,-0.56960469,-0.97063553,-1.1962984,-1.139811,-0.58265203,0.2
Argiope lobata,-0.58707464,-0.79536718,-0.57686466,-1.135166,-0.85697067,-1.139811,-0.58265203,0.2
Callophrys rubi,-0.57929146,-0.82901382,-0.55508476,-0.88837028,-0.96997315,-0.93960601,-0.58265203,0.2
Cerambyx cerdo,-0.58725739,-0.80256712,-0.57686466,-1.135166,-0.8811518,-1.139811,-0.58265203,0.2
Chalcolestes parvidens,-0.58250415,-0.61533159,-0.57686466,-1.135166,-0.2523194,-1.139811,-0.58265203,0.2
Clangula hyemalis,-0.58048666,-0.80690348,-0.56234473,-0.97063553,-0.99581093,-1.139811,-0.58265203,0.2
Cornu aspersum,-0.56548882,-0.77620077,-0.54056484,-0.72383976,-0.90143764,-0.60593086,-0.58265203,0.2
Falco naumanni,-0.57215202,-0.79544997,-0.55508476,-0.80610502,-0.89252537,-0.81948298,-0.58265203,0.2
Gavia stellata,-0.55285794,-0.56870359,-0.55508476,-0.88837028,-0.91962802,-1.139811,-0.58265203,0.2
Hierophis viridiflavus,-0.54309648,-0.75448507,-0.53330487,-0.3947787,-0.71966761,-1.0597291,-0.58265203,0.2
Hipparchia statilinus,-0.5863207,-0.76566815,-0.57323468,-1.135166,-0.75722611,-1.139811,-0.58265203,0.2
Hyphantria cunea,-0.57563388,-0.34470466,-0.57686466,-1.135166,0.65658391,-1.139811,-0.58265203,0.2
Nomophila noctuella,-0.56893373,-0.77009594,-0.55145478,-0.80610502,-0.85787058,-0.97964704,-0.58265203,0.2
Pieris brassicae,-0.56404293,-0.76670849,-0.55871475,-0.72383976,-0.76072013,-1.139811,-0.58265203,0.2
Polistes dominula,-0.57545936,-0.7912761,-0.56234473,-0.88837028,-0.89683926,-1.139811,-0.58265203,0.2
Pontia edusa,-0.56008399,-0.79114413,-0.53330487,-0.55930924,-0.8427875,-0.73940092,-0.58265203,0.2
Rana dalmatina,-0.58424413,-0.81314808,-0.57323468,-1.0529008,-0.91668802,-1.139811,-0.58265203,0.2
Scopula imitaria,-0.58969235,-0.89848226,-0.57686466,-1.135166,-1.2032838,-1.139811,-0.58265203,0.2
Sphingonotus personatus,-0.58196563,-0.76827157,-0.56960469,-1.0529008,-0.76596981,-0.73940092,-0.58265203,0.2
Utetheisa pulchella,-0.58947468,-0.88990641,-0.57686466,-1.135166,-1.1744815,-1.139811,-0.58265203,0.2
Acanthocardia tuberculata,-0.58336926,-0.84475315,-0.56960469,-0.97063553,-1.0228339,-1.139811,-0.58265203,0.2
Acrida ungarica,-0.57241035,-0.82164174,-0.55145478,-0.72383976,-0.99468398,-1.139811,-0.58265203,0.2
Aedes albopictus,-0.58592415,-0.84623677,-0.57323468,-1.0529008,-1.0278167,-1.139811,-0.58265203,0.2
Agelena labyrinthica,-0.57939011,-0.79250556,-0.55871475,-0.97063553,-0.84735984,-0.33899081,-0.58265203,0.2
Aiolopus strepens,-0.57011133,-0.67067236,-0.54419482,-0.97063553,-0.72409427,-0.33899081,-0.58265203,0.2
Alopochen aegyptiaca,-0.58432811,-0.81480163,-0.56597471,-1.0529008,-0.92224139,-0.73940092,-0.58265203,0.2
Ameiurus,-0.58248293,-0.7784608,-0.57323468,-1.0529008,-0.80019039,-1.139811,-0.58265203,0.2
Anthus cervinus,-0.5807296,-0.84317631,-0.56597471,-0.88837028,-1.017538,-1.139811,-0.58265203,0.2
Arachnocephalus vestitus,-0.58684057,-0.78614628,-0.57686466,-1.135166,-0.82600224,-1.139811,-0.58265203,0.2
Araneus angulatus,-0.57185721,-0.56918186,-0.56960469,-1.0529008,-0.097325079,-0.73940092,-0.58265203,0.2
Arctia villica,-0.57342273,-0.77122027,-0.5478248,-0.88837028,-0.82948148,-0.5391959,-0.58265203,0.2
Asio flammeus,-0.56111771,-0.65004367,-0.5478248,-0.88837028,-0.42250887,-0.5391959,-0.58265203,0.2
Aspitates ochrearia,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,0.2
Bacillus rossius,-0.58856428,-0.85404646,-0.57686466,-1.135166,-1.0540457,-1.139811,-0.58265203,0.2
Cacyreus marshalli,-0.58313191,-0.79124212,-0.57323468,-1.0529008,-0.84311652,-1.139811,-0.58265203,0.2
Caretta caretta,-0.58776289,-0.90244275,-0.56234473,-0.97063553,-1.216585,-0.87287098,-0.58265203,0.2
Curruca subalpina,-0.58126295,-0.81709665,-0.56960469,-0.97063553,-0.92994922,-1.139811,-0.58265203,0.2
Dolycoris baccarum,-0.56914896,-0.65803617,-0.56597471,-0.97063553,-0.4672212,-1.139811,-0.58265203,0.2
Dorcus parallelipipedus,-0.58090079,-0.81234133,-0.56597471,-0.97063553,-0.91397846,-0.87287098,-0.58265203,0.2
Emys orbicularis,-0.57777506,-0.77129918,-0.56960469,-0.97063553,-0.77613807,-1.139811,-0.58265203,0.2
"Erinaceus Linnaeus,",-0.57697296,-0.66993856,-0.57323468,-1.0529008,-0.43571749,-1.139811,-0.58265203,0.2
Eristalinus taeniops,-0.57707679,-0.67198342,-0.56960469,-1.0529008,-0.44258502,-1.139811,-0.58265203,0.2
Eupeodes corollae,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,0.2
Euplagia quadripunctaria,-0.578049,-0.81677818,-0.56597471,-0.88837028,-0.92887974,-1.139811,-0.58265203,0.2
Evarcha jucunda,-0.58151585,-0.75941288,-0.56234473,-1.0529008,-0.73621774,-0.33899081,-0.58265203,0.2
Exochomus quadripustulatus,-0.58969235,-0.89848226,-0.57686466,-1.135166,-1.2032838,-1.139811,-0.58265203,0.2
Glareola pratincola,-0.57785618,-0.81487942,-0.55145478,-0.88837028,-1.1341337,-1.139811,-0.58265203,0.2
Glycaspis brimblecombei,-0.59025699,-0.92072397,-0.57686466,-1.135166,-1.2779827,-1.139811,-0.58265203,0.2
Helicoverpa armigera,-0.57939768,-0.79260445,-0.56597471,-0.97063553,-0.85393476,-1.139811,-0.58265203,0.2
Hippodamia variegata,-0.56182265,-0.65698552,-0.55508476,-0.88837028,-0.39221445,-0.93960601,-0.58265203,0.2
Lampides boeticus,-0.5693574,-0.77343363,-0.55871475,-0.80610502,-0.7833066,-1.139811,-0.58265203,0.2
Lasiocampa quercus,-0.56453317,-0.73542756,-0.55871475,-0.80610502,-0.65566278,-0.97964704,-0.58265203,0.2
Lestes virens,-0.57378411,-0.71889704,-0.56960469,-0.97063553,-0.60014504,-1.139811,-0.58265203,0.2
